subset,n_rows,accuracy,macro_f1,fertility_f1
both,4436,0.39224526600541026,0.3294299648122436,0.21604938271604937
2022,2660,0.42293233082706766,0.3603446690548763,0.2546201232032855
2024,1776,0.34459459459459457,0.2917921401038114,0.191904047976012
