model,n_features,n_rows,accuracy,macro_f1,fertility_f1
cycle_day,1,2251,0.6446023989338072,0.642735975410545,0.4946859903381642
physiology,18,2251,0.40826299422478896,0.3631934446674483,0.22660098522167488
symptoms,12,2251,0.35362061306086184,0.34265846662901667,0.19567979669631516
cycle+physiology,19,2251,0.6525988449577965,0.6319503030033365,0.42041312272174974
cycle+symptoms,13,2251,0.6188360728565082,0.5971414209852497,0.353960396039604
physiology+symptoms,30,2251,0.4420257663260773,0.4155627706681016,0.24570673712021132
all_three,31,2251,0.6414926699244781,0.6134252700057532,0.3617571059431524
